,Joueur,Numéro de maillot,Nation,Emplacement,Âge,Minutes,Buts,Passes décisives_x,Pénaltys marqués,Pénaltys tirés,Total des tirs ,Shots on Target,Cartons jaunes_x,Cartons rouges_x,Touches_x,Tacles_x,Interceptions_x,Balles contrées_x,xG: Expected Goals,npxG: xG sans les pénaltys,xAG: Expected Assisted Goals_x,Actions menant à un tir,Actions menant à un but,Passes réussies_x,Passes tentées_x,% de passes réussies_x,Passes progressives_x,Balle au pied_x,Possessions progressives_x,Dribbles tentés_x,Dribbles réussis_x,team tag,match tag,player tag,id_team_A,score_team_A,id_team_B,score_team_B,Passes réussies_y,Passes tentées_y,% de passes réussies_y,Distance totale des passes,Distance parcourue vers l'attaque avec les passes,Passes réussies (Court),Passes tentées (Court),% de passes réussies (Court),Passes réussies (Moyen),Passes tentées (Moyen),% de passes réussies (Moyen),Passes réussies (Long),Passes tentées (Long),% de passes réussies (Long),Passes décisives_y,xAG: Expected Assisted Goals_y,xA: Expected Assists,Passes clés,Passes dans le dernier tiers du terrain,Passes dans la surface de réparation,Centres dans la surface de réparation,Passes progressives_y,Passes tentées,Live-ball Passes,Dead-ball Passes,Passes sur coups francs,Passe en profondeur,Transversales,Centres_x,Throw-ins Taken,Corners,Corners rentrants,Corners sortants,Corners droits,Passes réussies,Passes hors-jeux,Passes bloquées_x,Tacles_y,Tacles réussis_x,Tacles (ZDéf),Tacles (MilTer),Tacles (ZOff),Dribbleurs taclés,Dribbles mis en échec,% of Dribblers Tackled,Tacles manqués,Balles contrées_y,Tirs bloqués,Passes bloquées_y,Interceptions_y,Tcl+Int,Dégagements,Erreurs,Touches_y,Touches (SurfRépDéf),Touches (ZDéf),Touches (MilTer),Touches (ZOff),Touches (SurfRépOff),Touches (Ballon vivant),Dribbles tentés_y,Dribbles réussis_y,% de dribbles réussis,Nombre de fois où le joueur a été taclé,Pourcentage de tacles subis lors des tentatives de franchissement,Balle au pied_y,Distance totale parcourue avec le ballon,Distance parcourue vers l'attaque en portant la balle,Possessions progressives_y,Chevauchées dans le dernier tiers,Chevauchées dans la surface de réparation,Mauvais contrôle,Perte de balle,Passes reçues,Passes progressives reçues,Cartons jaunes_y,Cartons rouges_y,Deuxième carton jaune,Fautes commises,Fautes provoquées,Hors-jeux,Centres_y,Interceptions,Tacles réussis_y,Pénaltys réussis,Pénaltys concédés,But contre son camp,Récupérations de balle,Aerials Won,Aerials Lost,% of Aerials Won
20,Bernardo Silva,20,pt POR,LM,28-038,70,0,1,0,0,0,0,0,0,63,1,1,0,0.0,0.0,0.1,4,1,51,57,89.5,3,47,1,1,0,b8fd03ef,96b5cc15,3eb22ec9,8cec06e1,0,b8fd03ef,3,51,57,89.5,742,142,34,37,91.9,13,13,100.0,3,4,75.0,1,0.1,0.0,3,5,1,0,3,57,57,0,0,0,1,0,0,0,0,0,0,51,0,0,1,1,1,0,0,0,3,0.0,3,0,0,0,1,2,1,0,63,2,14,34,15,1,63,1,0,0.0,1,100.0,47,230,73,1,1,0,1,1,53,3,0,0,0,1,1,0,0,1,1,0,0,0,5,0,0,
21,Julián Álvarez,19,ar ARG,FW,22-229,20,0,0,0,0,1,1,0,0,13,1,0,1,0.0,0.0,0.0,0,0,7,10,70.0,3,11,2,0,0,b8fd03ef,96b5cc15,15ab5a2b,8cec06e1,0,b8fd03ef,3,7,10,70.0,111,34,3,3,100.0,4,6,66.7,0,0,,0,0.0,0.0,0,3,0,0,3,10,10,0,0,1,0,0,0,0,0,0,0,7,0,1,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,13,0,0,7,6,1,13,0,0,,0,,11,83,64,2,1,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
22,Rodri,16,es ESP,CM,26-087,80,0,0,0,0,1,1,1,0,69,2,3,1,0.0,0.0,0.0,1,0,57,60,95.0,7,45,2,0,0,b8fd03ef,96b5cc15,6434f10d,8cec06e1,0,b8fd03ef,3,57,60,95.0,1006,321,22,25,88.0,31,31,100.0,4,4,100.0,0,0.0,0.1,0,5,1,0,7,60,59,1,1,0,0,0,0,0,0,0,0,57,0,0,2,1,2,0,0,2,4,50.0,2,1,0,1,3,5,2,0,69,3,20,44,6,0,69,0,0,,0,,45,176,90,2,1,0,0,0,49,0,1,0,0,2,0,0,0,3,1,0,0,0,9,1,0,100.0
23,Sergio Gómez,21,es ESP,LB,22-013,10,0,0,0,0,0,0,0,0,16,0,1,1,0.0,0.0,0.0,0,0,11,13,84.6,1,13,1,0,0,b8fd03ef,96b5cc15,01e5f06e,8cec06e1,0,b8fd03ef,3,11,13,84.6,155,36,6,7,85.7,5,6,83.3,0,0,,0,0.0,0.0,0,2,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,16,0,4,12,0,0,16,0,0,,0,,13,63,51,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
24,Kevin De Bruyne,17,be BEL,RM,31-081,71,0,2,0,0,2,0,0,0,50,1,1,0,0.0,0.0,0.5,5,2,32,41,78.0,6,39,3,0,0,b8fd03ef,96b5cc15,e46012d4,8cec06e1,0,b8fd03ef,3,32,41,78.0,658,171,10,13,76.9,17,20,85.0,5,7,71.4,2,0.5,0.7,4,5,5,1,6,41,37,4,1,0,1,6,0,3,1,2,0,32,0,0,1,1,0,1,0,0,2,0.0,2,0,0,0,1,2,0,0,50,0,8,21,21,1,50,0,0,,0,,39,190,104,3,2,1,2,2,41,10,0,0,0,1,0,0,6,1,1,0,0,0,2,0,0,
25,İlkay Gündoğan,8,de GER,CM,31-328,19,0,0,0,0,0,0,0,0,16,0,1,1,0.0,0.0,0.0,0,0,10,13,76.9,2,9,0,0,0,b8fd03ef,96b5cc15,819b3158,8cec06e1,0,b8fd03ef,3,10,13,76.9,187,43,5,6,83.3,3,3,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,2,13,12,1,0,1,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,16,0,3,9,4,1,16,0,0,,0,,9,42,8,0,0,0,0,0,11,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100.0
26,João Cancelo,7,pt POR,"LB,RB",28-113,90,0,0,0,0,2,0,0,0,97,5,2,0,0.1,0.1,0.1,4,0,74,84,88.1,6,60,7,6,4,b8fd03ef,96b5cc15,bd6351cd,8cec06e1,0,b8fd03ef,3,74,84,88.1,1092,332,41,43,95.3,29,36,80.6,3,3,100.0,0,0.1,0.1,2,4,2,1,6,84,74,10,2,1,0,2,8,0,0,0,0,74,0,0,5,5,5,0,0,3,4,75.0,1,0,0,0,2,7,1,0,97,2,26,43,28,3,97,6,4,66.7,1,16.7,60,341,224,7,3,3,2,1,61,4,0,0,0,0,1,1,2,2,5,0,0,0,7,3,0,100.0
27,Rúben Dias,3,pt POR,CB,25-126,90,0,0,0,0,0,0,0,0,94,0,3,1,0.0,0.0,0.0,0,0,81,86,94.2,1,69,0,1,1,b8fd03ef,96b5cc15,31c69ef1,8cec06e1,0,b8fd03ef,3,81,86,94.2,1525,538,29,29,100.0,46,48,95.8,6,7,85.7,0,0.0,0.0,0,2,0,0,1,86,85,1,1,0,0,0,0,0,0,0,0,81,0,1,0,0,0,0,0,0,0,,0,1,0,1,3,3,2,0,94,7,42,51,1,0,94,1,1,100.0,0,0.0,69,262,139,0,0,0,0,0,77,0,0,0,0,1,0,0,0,3,0,0,0,0,4,1,0,100.0
28,Manuel Akanji,25,ch SUI,CB,27-060,90,0,0,0,0,0,0,0,0,96,3,1,1,0.0,0.0,0.0,2,0,88,91,96.7,4,79,0,0,0,b8fd03ef,96b5cc15,89ac64a6,8cec06e1,0,b8fd03ef,3,88,91,96.7,1521,729,40,41,97.6,40,40,100.0,6,8,75.0,0,0.0,0.0,0,7,0,0,4,91,91,0,0,0,1,0,0,0,0,0,0,88,0,0,3,2,1,2,0,2,2,100.0,0,1,0,1,1,4,0,0,96,6,39,57,1,0,96,0,0,,0,,79,419,275,0,0,0,0,0,83,0,0,0,0,2,0,0,0,1,2,0,0,0,5,1,1,50.0
29,John Stones,5,eng ENG,"RB,CM",28-112,90,0,0,0,0,1,1,0,0,69,2,1,2,0.0,0.0,0.0,1,0,57,61,93.4,3,43,1,0,0,b8fd03ef,96b5cc15,5eecec3d,8cec06e1,0,b8fd03ef,3,57,61,93.4,906,198,29,31,93.5,26,26,100.0,1,3,33.3,0,0.0,0.0,0,4,0,0,3,61,54,7,0,0,1,0,7,0,0,0,0,57,0,0,2,1,0,2,0,0,0,,0,2,1,1,1,3,1,0,69,3,16,43,10,1,69,0,0,,0,,43,165,75,1,1,0,1,1,52,0,0,0,0,2,0,0,0,1,1,0,0,0,2,2,0,100.0
30,Ederson,31,br BRA,GK,29-031,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,30,32,93.8,0,23,0,0,0,b8fd03ef,96b5cc15,3bb7b8b4,8cec06e1,0,b8fd03ef,3,30,32,93.8,659,384,4,4,100.0,21,21,100.0,5,7,71.4,0,0.0,0.0,0,0,0,0,0,32,25,7,1,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,36,27,36,0,0,0,36,0,0,,0,,23,103,80,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
0,Alexander Isak,14,se SWE,"FW,LW",22-361,90,1,0,1,1,2,2,0,0,26,1,0,1,0.9,0.2,0.1,3,0,11,16,68.8,0,10,1,2,2,b2b47a98,177da679,8e92be30,b2b47a98,1,4ba7cbea,1,11,16,68.8,165,41,6,9,66.7,2,3,66.7,2,2,100.0,0,0.1,0.1,2,1,0,0,0,16,15,1,0,0,0,0,0,0,0,0,0,11,0,1,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,26,0,2,5,21,6,25,2,2,100.0,0,0.0,10,40,24,1,1,0,4,1,19,6,0,0,0,1,1,0,0,0,1,0,0,0,3,2,2,50.0
1,Ryan Fraser,21,sct SCO,LW,28-205,70,0,0,0,0,4,1,0,0,36,1,0,0,0.2,0.2,0.1,1,0,20,30,66.7,2,22,2,0,0,b2b47a98,177da679,d56543a0,b2b47a98,1,4ba7cbea,1,20,30,66.7,302,56,10,13,76.9,10,13,76.9,0,0,,0,0.1,0.0,1,1,0,0,2,30,27,1,0,0,0,2,1,0,0,0,0,20,2,1,1,1,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0,36,0,3,15,19,3,36,0,0,,0,,22,117,67,2,1,0,1,1,26,7,0,0,0,0,0,0,2,0,1,0,0,0,3,0,1,0.0
2,Jacob Murphy,23,eng ENG,"LW,RW",27-205,20,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,0,0,9,13,69.2,2,9,1,0,0,b2b47a98,177da679,de112b84,b2b47a98,1,4ba7cbea,1,9,13,69.2,149,8,4,5,80.0,4,5,80.0,0,1,0.0,0,0.0,0.0,0,0,0,0,2,13,13,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,0,0,2,12,2,14,0,0,,0,,9,62,27,1,0,0,0,0,12,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
3,Miguel Almirón,24,py PAR,RW,28-219,88,0,0,0,0,2,1,0,0,64,2,0,2,0.2,0.2,0.1,3,0,46,51,90.2,7,35,5,0,0,b2b47a98,177da679,862a1c15,b2b47a98,1,4ba7cbea,1,46,51,90.2,618,139,32,34,94.1,14,15,93.3,0,0,,0,0.1,0.1,1,2,3,0,7,51,50,1,0,0,0,1,1,0,0,0,0,46,0,2,2,1,0,1,1,1,1,100.0,0,2,0,2,0,2,0,0,64,0,3,19,42,7,64,0,0,,0,,35,251,92,5,0,4,5,1,43,12,0,0,0,0,1,1,1,0,1,0,0,0,4,1,0,100.0
4,Chris Wood,20,nz NZL,FW,30-284,2,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,b2b47a98,177da679,4e9a0555,b2b47a98,1,4ba7cbea,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
5,Joelinton,7,br BRA,LM,26-034,90,0,0,0,0,3,1,1,0,54,1,0,4,0.2,0.2,0.0,2,0,34,41,82.9,5,29,4,2,2,b2b47a98,177da679,c17bfb65,b2b47a98,1,4ba7cbea,1,34,41,82.9,515,110,19,23,82.6,11,11,100.0,3,3,100.0,0,0.0,0.0,0,4,1,0,5,41,40,1,0,0,0,0,0,1,0,0,0,34,0,2,1,1,0,1,0,0,1,0.0,1,4,0,4,0,1,1,0,54,1,3,26,26,5,54,2,2,100.0,0,0.0,29,211,112,4,3,0,1,4,40,9,1,0,0,2,4,0,0,0,1,0,0,0,5,3,2,60.0
6,Bruno Guimarães,39,br BRA,CM,24-305,71,0,0,0,0,0,0,0,0,75,5,1,0,0.0,0.0,0.1,5,0,56,62,90.3,11,54,1,1,0,b2b47a98,177da679,82518f62,b2b47a98,1,4ba7cbea,1,56,62,90.3,979,239,26,28,92.9,24,25,96.0,6,8,75.0,0,0.1,0.1,1,7,4,0,11,62,61,1,0,0,0,0,1,0,0,0,0,56,0,1,5,3,0,4,1,4,5,80.0,1,0,0,0,1,6,0,0,75,0,5,49,21,0,75,1,0,0.0,1,100.0,54,264,98,1,0,0,0,4,59,0,0,0,0,2,2,0,0,1,3,0,0,0,8,0,1,0.0
7,Sean Longstaff,36,eng ENG,CM,24-322,19,0,0,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.0,2,0,26,29,89.7,2,19,0,0,0,b2b47a98,177da679,a2b105e0,b2b47a98,1,4ba7cbea,1,26,29,89.7,483,67,9,9,100.0,13,14,92.9,4,6,66.7,0,0.0,0.0,1,3,0,0,2,29,29,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,32,0,4,17,11,0,32,0,0,,0,,19,96,29,0,1,0,1,1,26,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
8,Joe Willock,28,eng ENG,RM,23-028,90,0,0,0,0,2,0,0,0,78,2,0,0,0.1,0.1,0.2,7,0,60,71,84.5,10,59,4,1,1,b2b47a98,177da679,a3b03921,b2b47a98,1,4ba7cbea,1,60,71,84.5,905,204,34,36,94.4,22,27,81.5,2,3,66.7,0,0.2,0.2,2,6,2,2,10,71,69,1,0,0,0,7,0,0,0,0,0,60,1,0,2,1,2,0,0,1,4,25.0,3,0,0,0,0,2,0,0,78,1,7,28,43,5,78,1,1,100.0,0,0.0,59,252,129,4,2,1,1,2,68,7,0,0,0,1,0,1,7,0,1,0,0,0,3,0,0,
9,Matt Targett,13,eng ENG,LB,26-364,90,0,0,0,0,0,0,0,0,94,2,0,1,0.0,0.0,0.0,2,0,74,88,84.1,7,49,0,0,0,b2b47a98,177da679,e514ab62,b2b47a98,1,4ba7cbea,1,74,88,84.1,1217,329,36,39,92.3,35,41,85.4,3,7,42.9,0,0.0,0.1,1,5,1,0,7,88,70,18,4,0,1,3,13,1,1,0,0,74,0,1,2,2,0,1,1,1,5,20.0,4,1,0,1,0,2,2,0,94,2,18,43,34,0,94,0,0,,0,,49,118,59,0,2,0,1,1,58,4,0,0,0,3,0,0,3,0,2,0,0,0,3,0,1,0.0
10,Dan Burn,33,eng ENG,CB,30-131,90,0,0,0,0,0,0,1,0,98,0,0,2,0.0,0.0,0.0,1,0,82,92,89.1,4,65,1,0,0,b2b47a98,177da679,b2d31e83,b2b47a98,1,4ba7cbea,1,82,92,89.1,1929,600,13,16,81.3,50,53,94.3,17,19,89.5,0,0.0,0.0,1,9,0,0,4,92,90,2,1,0,2,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,,0,2,1,1,0,0,3,0,98,13,39,53,6,0,98,0,0,,0,,65,363,138,1,2,0,0,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,10,4,1,80.0
11,Fabian Schär,5,ch SUI,CB,30-271,90,0,0,0,0,4,1,0,0,98,1,0,0,0.1,0.1,0.1,4,1,74,88,84.1,12,61,2,1,0,b2b47a98,177da679,c8aa95da,b2b47a98,1,4ba7cbea,1,74,88,84.1,1384,530,29,33,87.9,35,39,89.7,10,14,71.4,0,0.1,0.0,1,16,1,0,12,88,86,2,2,0,1,1,0,0,0,0,0,74,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,98,8,32,49,17,3,98,1,0,0.0,1,100.0,61,353,264,2,4,0,0,0,74,3,0,0,0,0,2,0,1,0,1,0,0,0,9,3,2,60.0
12,Kieran Trippier,2,eng ENG,RB,31-363,90,0,0,0,0,1,0,0,0,120,0,0,2,0.1,0.1,0.1,4,0,85,112,75.9,10,67,0,1,0,b2b47a98,177da679,21512407,b2b47a98,1,4ba7cbea,1,85,112,75.9,1548,587,40,44,90.9,35,41,85.4,9,18,50.0,0,0.1,0.4,2,6,9,2,10,112,92,20,3,0,0,16,11,6,1,5,0,85,0,1,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,120,2,16,46,58,4,120,1,0,0.0,1,100.0,67,125,55,0,2,0,1,0,87,18,0,0,0,1,0,1,16,0,0,0,0,0,5,0,0,
13,Nick Pope,22,eng ENG,GK,30-151,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,17,18,94.4,0,7,0,0,0,b2b47a98,177da679,4b40d9ca,b2b47a98,1,4ba7cbea,1,17,18,94.4,388,266,4,4,100.0,10,10,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,18,13,5,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,17,19,0,0,0,19,0,0,,0,,7,62,34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,Dominic Solanke,9,eng ENG,FW,25-003,89,0,0,0,0,2,1,0,0,21,2,1,2,0.1,0.1,0.0,1,0,6,8,75.0,1,9,3,3,1,4ba7cbea,177da679,e77dc3b2,b2b47a98,1,4ba7cbea,1,6,8,75.0,83,12,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,1,0,0,1,8,6,2,0,0,0,0,0,0,0,0,0,6,0,1,2,2,1,1,0,1,1,100.0,0,2,1,1,1,3,0,0,21,0,3,13,6,1,21,3,1,33.3,2,66.7,9,79,51,3,1,1,2,1,8,0,0,0,0,2,0,0,0,1,2,0,0,0,4,1,4,20.0
15,Kieffer Moore,21,wls WAL,FW,30-040,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,4ba7cbea,177da679,01ce9e70,b2b47a98,1,4ba7cbea,1,1,1,100.0,21,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,,0,,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
16,Ryan Christie,10,sct SCO,LW,27-207,86,0,0,0,0,3,1,1,0,41,1,3,1,0.1,0.1,0.0,3,0,15,24,62.5,2,20,2,5,3,4ba7cbea,177da679,26ce2263,b2b47a98,1,4ba7cbea,1,15,24,62.5,189,53,10,14,71.4,4,6,66.7,0,1,0.0,0,0.0,0.0,0,1,1,0,2,24,24,0,0,0,0,0,0,0,0,0,0,15,0,1,1,1,0,1,0,1,1,100.0,0,1,1,0,3,4,2,0,41,4,17,16,9,1,41,5,3,60.0,2,40.0,20,186,119,2,2,0,1,2,24,3,1,0,0,1,4,0,0,3,1,0,0,0,8,0,2,0.0
17,Jack Stacey,17,eng ENG,LW,26-164,4,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,1,1,4ba7cbea,177da679,558807c0,b2b47a98,1,4ba7cbea,1,1,2,50.0,13,0,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,5,1,2,2,1,0,5,1,1,100.0,0,0.0,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
18,Marcus Tavernier,16,eng ENG,RW,23-179,79,0,0,0,0,2,0,1,0,37,1,0,1,0.1,0.1,0.1,3,0,19,26,73.1,2,18,4,5,3,4ba7cbea,177da679,5c0da4a4,b2b47a98,1,4ba7cbea,1,19,26,73.1,283,68,10,10,100.0,6,9,66.7,1,5,20.0,0,0.1,0.0,1,1,0,0,2,26,22,4,3,0,1,4,0,1,1,0,0,19,0,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,2,0,37,2,8,19,14,3,37,5,3,60.0,2,40.0,18,222,97,4,2,2,1,0,19,5,1,0,0,1,2,0,4,0,1,0,0,0,7,0,1,0.0
19,Jaidon Anthony,32,eng ENG,RW,22-290,11,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,1,0,0,4ba7cbea,177da679,e4238fb1,b2b47a98,1,4ba7cbea,1,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,,0,,1,22,15,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
20,Philip Billing,29,dk DEN,AM,26-098,89,1,0,0,0,2,1,0,0,35,3,1,2,0.4,0.4,0.1,3,0,13,19,68.4,2,11,1,3,2,4ba7cbea,177da679,d328a254,b2b47a98,1,4ba7cbea,1,13,19,68.4,234,58,6,8,75.0,6,9,66.7,1,1,100.0,0,0.1,0.0,2,1,1,0,2,19,18,1,1,0,0,0,0,0,0,0,0,13,0,1,3,3,2,1,0,0,0,,0,2,1,1,1,4,3,0,35,4,10,16,9,2,35,3,2,66.7,1,33.3,11,101,26,1,0,0,2,1,17,3,0,0,0,2,3,0,0,1,3,0,0,0,2,4,1,80.0
21,Jack Stephens,3,eng ENG,AM,28-233,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,4ba7cbea,177da679,6adbc307,b2b47a98,1,4ba7cbea,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,Jefferson Lerma,8,co COL,DM,27-327,90,0,0,0,0,0,0,0,0,38,1,2,2,0.0,0.0,0.0,0,0,18,25,72.0,1,7,1,1,1,4ba7cbea,177da679,9b5ce51a,b2b47a98,1,4ba7cbea,1,18,25,72.0,321,101,3,5,60.0,15,16,93.8,0,2,0.0,0,0.0,0.0,0,2,0,0,1,25,24,1,1,0,0,0,0,0,0,0,0,18,0,1,1,0,1,0,0,0,1,0.0,1,2,2,0,2,3,5,0,38,13,21,16,1,0,38,1,1,100.0,0,0.0,7,49,7,1,0,0,1,1,19,0,0,0,0,2,1,0,0,2,0,0,1,0,6,0,0,
23,Lewis Cook,4,eng ENG,DM,25-226,90,0,0,0,0,0,0,0,0,36,4,0,2,0.0,0.0,0.1,2,1,19,22,86.4,1,11,0,2,1,4ba7cbea,177da679,2afc7272,b2b47a98,1,4ba7cbea,1,19,22,86.4,304,80,11,12,91.7,5,5,100.0,2,4,50.0,0,0.1,0.0,1,0,0,0,1,22,22,0,0,0,0,0,0,0,0,0,0,19,0,0,4,3,1,2,1,1,4,25.0,3,2,0,2,0,4,2,0,36,4,20,12,5,0,36,2,1,50.0,1,50.0,11,62,15,0,0,0,3,0,16,0,0,0,0,1,0,0,0,0,3,0,0,0,8,0,0,
24,Jordan Zemura,33,zw ZIM,LB,22-307,90,0,1,0,0,0,0,0,0,37,2,0,1,0.0,0.0,0.5,6,1,17,27,63.0,2,16,4,1,1,4ba7cbea,177da679,e8271ad9,b2b47a98,1,4ba7cbea,1,17,27,63.0,250,138,9,12,75.0,7,9,77.8,0,1,0.0,1,0.5,0.6,5,1,1,0,2,27,23,4,0,0,0,1,4,0,0,0,0,17,0,3,2,2,1,1,0,0,0,,0,1,0,1,0,2,4,0,37,5,17,8,13,2,37,1,1,100.0,0,0.0,16,121,90,4,3,1,1,1,22,5,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,50.0
25,Marcos Senesi,25,ar ARG,CB,25-130,90,0,0,0,0,0,0,0,0,42,0,1,1,0.0,0.0,0.0,0,0,17,31,54.8,1,10,0,0,0,4ba7cbea,177da679,35141f4c,b2b47a98,1,4ba7cbea,1,17,31,54.8,311,130,5,7,71.4,12,19,63.2,0,2,0.0,0,0.0,0.0,0,0,0,0,1,31,25,5,1,0,0,0,4,0,0,0,0,17,1,2,0,0,0,0,0,0,0,,0,1,0,1,1,1,8,0,42,16,33,8,1,0,42,0,0,,0,,10,41,13,0,0,0,0,0,18,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,
26,Chris Mepham,6,wls WAL,CB,24-316,90,0,0,0,0,0,0,0,0,30,1,0,1,0.0,0.0,0.0,0,0,15,21,71.4,2,6,0,0,0,4ba7cbea,177da679,fed96827,b2b47a98,1,4ba7cbea,1,15,21,71.4,270,128,6,8,75.0,8,9,88.9,1,3,33.3,0,0.0,0.0,0,2,0,0,2,21,19,2,2,0,0,0,0,0,0,0,0,15,0,1,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,5,0,30,10,23,6,1,1,30,0,0,,0,,6,34,8,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,60.0
27,Adam Smith,15,eng ENG,RB,31-141,90,0,0,0,0,0,0,0,0,40,2,0,1,0.0,0.0,0.0,2,0,18,31,58.1,3,11,1,2,1,4ba7cbea,177da679,20b104bc,b2b47a98,1,4ba7cbea,1,18,31,58.1,370,208,4,6,66.7,13,19,68.4,1,4,25.0,0,0.0,0.0,0,2,0,0,3,31,23,8,1,0,0,0,7,0,0,0,0,18,0,1,2,1,0,2,0,0,0,,0,1,0,1,0,2,2,0,40,2,26,14,3,0,40,2,1,50.0,1,50.0,11,84,50,1,0,0,1,1,16,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,50.0
28,Neto,13,br BRA,GK,33-060,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,21,37,56.8,0,20,0,0,0,4ba7cbea,177da679,a9dc785c,b2b47a98,1,4ba7cbea,1,21,37,56.8,714,597,6,6,100.0,5,5,100.0,10,26,38.5,0,0.0,0.0,0,2,0,0,0,37,22,15,4,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,42,39,42,0,0,0,42,0,0,,0,,20,142,89,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
