,0,1
Joe Willock,"38,00 mio. €",20 août 1999 (23)
Sean Longstaff,"25,00 mio. €",30 oct. 1997 (25)
Jonjo Shelvey,"5,00 mio. €",27 févr. 1992 (31)
Jeff Hendrick,"1,50 mio. €",31 janv. 1992 (31)
Matty Longstaff,"1,00 mio. €",21 mars 2000 (23)
Lewis Miley,-,1 mai 2006 (17)
Matt Ritchie,"1,00 mio. €",10 sept. 1989 (33)
Elliot Anderson,"8,00 mio. €",6 nov. 2002 (20)
Anthony Gordon,"35,00 mio. €",24 févr. 2001 (22)
Allan Saint-Maximin,"32,00 mio. €",12 mars 1997 (26)
Ryan Fraser,"6,00 mio. €",24 févr. 1994 (29)
Miguel Almirón,"32,00 mio. €",10 févr. 1994 (29)
Jacob Murphy,"15,00 mio. €",24 févr. 1995 (28)
Alexander Isak,"70,00 mio. €",21 sept. 1999 (23)
Callum Wilson,"16,00 mio. €",27 févr. 1992 (31)
Chris Wood,"8,00 mio. €",7 déc. 1991 (31)
Robert Sánchez,"22,00 mio. €",18 nov. 1997 (25)
Jason Steele,"4,00 mio. €",18 août 1990 (32)
Tom McGill,600 K €,25 mars 2000 (23)
Levi Colwill,"30,00 mio. €",26 févr. 2003 (20)
Adam Webster,"25,00 mio. €",4 janv. 1995 (28)
Lewis Dunk,"16,00 mio. €",21 nov. 1991 (31)
Jan Paul van Hecke,"5,00 mio. €",8 juin 2000 (23)
Ed Turns,350 K €,18 oct. 2002 (20)
Antef Tsoungui,250 K €,30 déc. 2002 (20)
Odel Offiah,200 K €,26 oct. 2002 (20)
Pervis Estupiñán,"32,00 mio. €",21 janv. 1998 (25)
Haydon Roberts,700 K €,10 mai 2002 (21)
James Furlong,275 K €,7 juin 2002 (21)
Imari Samuels,150 K €,5 févr. 2003 (20)
Tariq Lamptey,"12,00 mio. €",30 sept. 2000 (22)
Joël Veltman,"10,00 mio. €",15 janv. 1992 (31)
Moisés Caicedo,"75,00 mio. €",2 nov. 2001 (21)
Billy Gilmour,"12,00 mio. €",11 juin 2001 (22)
Jack Hinshelwood,-,11 avr. 2005 (18)
Alexis Mac Allister,"65,00 mio. €",24 déc. 1998 (24)
Jakub Moder,"10,00 mio. €",7 avr. 1999 (24)
Pascal Groß,"8,00 mio. €",15 juin 1991 (32)
Yasin Ayari,"6,00 mio. €",6 oct. 2003 (19)
Steven Alzate,"4,00 mio. €",8 sept. 1998 (24)
Taylor Richards,400 K €,4 déc. 2000 (22)
Jack Spong,150 K €,4 févr. 2002 (21)
Jack Hinchy,100 K €,30 janv. 2003 (20)
Enock Mwepu,-,1 janv. 1998 (25)
Facundo Buonanotte,"12,00 mio. €",23 déc. 2004 (18)
Jeremy Sarmiento,"5,00 mio. €",16 juin 2002 (21)
Adam Lallana,"1,20 mio. €",10 mai 1988 (35)
Andy Moran,300 K €,15 oct. 2003 (19)
Cameron Peupion,125 K €,23 sept. 2002 (20)
Leandro Trossard,"35,00 mio. €",4 déc. 1994 (28)
Kaoru Mitoma,"32,00 mio. €",20 mai 1997 (26)
Solly March,"22,00 mio. €",20 juil. 1994 (28)
Julio Enciso,"22,00 mio. €",23 janv. 2004 (19)
Evan Ferguson,"30,00 mio. €",19 oct. 2004 (18)
Neal Maupay,"10,00 mio. €",14 août 1996 (26)
Deniz Undav,"10,00 mio. €",19 juil. 1996 (26)
Danny Welbeck,"7,00 mio. €",26 nov. 1990 (32)
Aaron Connolly,"4,00 mio. €",28 janv. 2000 (23)
Emiliano Martínez,"28,00 mio. €",2 sept. 1992 (30)
Robin Olsen,"1,50 mio. €",8 janv. 1990 (33)
Jed Steer,500 K €,23 sept. 1992 (30)
Viljami Sinisalo,500 K €,11 oct. 2001 (21)
Oliwier Zych,50 K €,28 juin 2004 (19)
Filip Marschall,-,24 avr. 2003 (20)
James Wright,-,2 déc. 2004 (18)
Ezri Konsa,"25,00 mio. €",23 oct. 1997 (25)
Tyrone Mings,"22,00 mio. €",13 mars 1993 (30)
Diego Carlos,"20,00 mio. €",15 mars 1993 (30)
Jan Bednarek,"14,00 mio. €",12 avr. 1996 (27)
Kortney Hause,"2,20 mio. €",16 juil. 1995 (27)
Josh Feeney,300 K €,6 mai 2005 (18)
Sil Swinkels,150 K €,6 janv. 2004 (19)
Álex Moreno,"15,00 mio. €",8 juin 1993 (30)
Lucas Digne,"15,00 mio. €",20 juil. 1993 (29)
Ludwig Augustinsson,"2,50 mio. €",21 avr. 1994 (29)
Ashley Young,600 K €,9 juil. 1985 (37)
Sebastian Revan,-,14 juil. 2003 (19)
Travis Patterson,-,6 oct. 2005 (17)
Matty Cash,"25,00 mio. €",7 août 1997 (25)
Calum Chambers,"8,00 mio. €",20 janv. 1995 (28)
Boubacar Kamara,"30,00 mio. €",23 nov. 1999 (23)
Leander Dendoncker,"15,00 mio. €",15 avr. 1995 (28)
Marvelous Nakamba,"4,00 mio. €",19 janv. 1994 (29)
Lamare Bogarde,450 K €,5 janv. 2004 (19)
Jacob Ramsey,"42,00 mio. €",28 mai 2001 (22)
Douglas Luiz,"40,00 mio. €",9 mai 1998 (25)
John McGinn,"27,00 mio. €",18 oct. 1994 (28)
Morgan Sanson,"6,00 mio. €",18 août 1994 (28)
Tim Iroegbunam,"5,00 mio. €",30 juin 2003 (20)
Philippe Coutinho,"10,00 mio. €",12 juin 1992 (31)
Tommi O'Reilly,-,15 déc. 2003 (19)
Leon Bailey,"28,00 mio. €",9 août 1997 (25)
Jaden Philogene,"2,80 mio. €",8 févr. 2002 (21)
Kadan Young,-,19 janv. 2006 (17)
Emiliano Buendía,"28,00 mio. €",25 déc. 1996 (26)
Bertrand Traoré,"12,00 mio. €",6 sept. 1995 (27)
Ollie Watkins,"40,00 mio. €",30 déc. 1995 (27)
Danny Ings,"12,00 mio. €",23 juil. 1992 (30)
Cameron Archer,"12,00 mio. €",9 déc. 2001 (21)
Jhon Durán,"12,00 mio. €",13 déc. 2003 (19)
Keinan Davis,"3,00 mio. €",13 févr. 1998 (25)
José Sá,"18,00 mio. €",17 janv. 1993 (30)
Matija Sarkic,"2,00 mio. €",23 juil. 1997 (25)
Daniel Bentley,"2,00 mio. €",13 juil. 1993 (29)
Louie Moulden,200 K €,6 janv. 2002 (21)
Jackson Smith,150 K €,14 oct. 2001 (21)
Max Kilman,"30,00 mio. €",23 mai 1997 (26)
Nathan Collins,"22,00 mio. €",30 avr. 2001 (22)
Conor Coady,"12,00 mio. €",25 févr. 1993 (30)
Toti,"6,00 mio. €",16 janv. 1999 (24)
Yerson Mosquera,"3,00 mio. €",2 mai 2001 (22)
Willy Boly,"2,50 mio. €",3 févr. 1991 (32)
Craig Dawson,"2,00 mio. €",6 mai 1990 (33)
Rayan Aït-Nouri,"22,00 mio. €",6 juin 2001 (22)
Jonny Otto,"13,00 mio. €",3 mars 1994 (29)
Hugo Bueno,"6,00 mio. €",18 sept. 2002 (20)
Nélson Semedo,"15,00 mio. €",16 nov. 1993 (29)
Ki-Jana Hoever,"3,50 mio. €",18 janv. 2002 (21)
Dexter Lembikisa,-,4 nov. 2003 (19)
Rúben Neves,"40,00 mio. €",13 mars 1997 (26)
Leander Dendoncker,"15,00 mio. €",15 avr. 1995 (28)
Mario Lemina,"10,00 mio. €",1 sept. 1993 (29)
Boubacar Traoré,"5,00 mio. €",20 août 2001 (21)
Joe Hodge,"2,00 mio. €",14 sept. 2002 (20)
Harvey Griffiths,-,22 sept. 2003 (19)
Matheus Nunes,"45,00 mio. €",27 août 1998 (24)
João Gomes,"18,00 mio. €",12 févr. 2001 (22)
Luke Cundle,"3,00 mio. €",26 avr. 2002 (21)
João Moutinho,"1,50 mio. €",8 sept. 1986 (36)
Connor Ronan,800 K €,6 mars 1998 (25)
Morgan Gibbs-White,"40,00 mio. €",27 janv. 2000 (23)
Chem Campbell,"1,00 mio. €",30 déc. 2002 (20)
Gonçalo Guedes,"23,00 mio. €",29 nov. 1996 (26)
Chiquinho,"2,00 mio. €",5 févr. 2000 (23)
Pedro Neto,"28,00 mio. €",9 mars 2000 (23)
Daniel Podence,"20,00 mio. €",21 oct. 1995 (27)
Pablo Sarabia,"14,00 mio. €",11 mai 1992 (31)
Adama Traoré,"10,00 mio. €",25 janv. 1996 (27)
Matheus Cunha,"25,00 mio. €",27 mai 1999 (24)
Sasa Kalajdzic,"15,00 mio. €",7 juil. 1997 (25)
Hee-chan Hwang,"12,00 mio. €",26 janv. 1996 (27)
Raúl Jiménez,"6,00 mio. €",5 mai 1991 (32)
Diego Costa,"2,00 mio. €",7 oct. 1988 (34)
Nathan Fraser,-,22 févr. 2005 (18)
Danny Ward,"6,00 mio. €",22 juin 1993 (30)
Daniel Iversen,"5,00 mio. €",19 juil. 1997 (25)
Alex Smithies,500 K €,5 mars 1990 (33)
Wesley Fofana,"55,00 mio. €",17 déc. 2000 (22)
Wout Faes,"20,00 mio. €",3 avr. 1998 (25)
Çağlar Söyüncü,"15,00 mio. €",23 mai 1996 (27)
Harry Souttar,"15,00 mio. €",22 oct. 1998 (24)
Daniel Amartey,"12,00 mio. €",21 déc. 1994 (28)
Jannik Vestergaard,"4,00 mio. €",3 août 1992 (30)
Jonny Evans,"2,00 mio. €",3 janv. 1988 (35)
Lewis Brunt,100 K €,6 nov. 2000 (22)
Victor Kristiansen,"12,00 mio. €",16 déc. 2002 (20)
Luke Thomas,"12,00 mio. €",10 juin 2001 (22)
Ryan Bertrand,800 K €,5 août 1989 (33)
Timothy Castagne,"25,00 mio. €",5 déc. 1995 (27)
James Justin,"20,00 mio. €",23 févr. 1998 (25)
Ricardo Pereira,"10,00 mio. €",6 oct. 1993 (29)
Joe Wormleighton,100 K €,30 déc. 2003 (19)
Wilfred Ndidi,"25,00 mio. €",16 déc. 1996 (26)
Boubakary Soumaré,"20,00 mio. €",27 févr. 1999 (24)
Hamza Choudhury,"5,00 mio. €",1 oct. 1997 (25)
Nampalys Mendy,"2,50 mio. €",23 juin 1992 (31)
Sammy Braybrooke,250 K €,12 mars 2004 (19)
Youri Tielemans,"25,00 mio. €",7 mai 1997 (26)
Kiernan Dewsbury-Hall,"25,00 mio. €",6 sept. 1998 (24)
Dennis Praet,"7,00 mio. €",14 mai 1994 (29)
Marc Albrighton,"1,00 mio. €",18 nov. 1989 (33)
James Maddison,"60,00 mio. €",23 nov. 1996 (26)
Will Alves,-,4 mai 2005 (18)
Harvey Barnes,"35,00 mio. €",9 déc. 1997 (25)
Ayoze Pérez,"6,00 mio. €",29 juil. 1993 (29)
Tetê,"25,00 mio. €",15 févr. 2000 (23)
Kasey McAteer,250 K €,22 nov. 2001 (21)
Wanya Marçal,-,19 oct. 2002 (20)
Kelechi Iheanacho,"18,00 mio. €",3 oct. 1996 (26)
Patson Daka,"18,00 mio. €",9 oct. 1998 (24)
Jamie Vardy,"2,50 mio. €",11 janv. 1987 (36)
George Hirst,800 K €,15 févr. 1999 (24)
Alphonse Areola,"8,00 mio. €",27 févr. 1993 (30)
Lukasz Fabianski,900 K €,18 avr. 1985 (38)
Darren Randolph,400 K €,12 mai 1987 (36)
