,Attaquant,Milieu,Défenseur
Nombre de fois où le joueur a été taclé,1.3705523583416763,0.7835001299425203,0.41381812031547643
Pourcentage de tacles subis lors des tentatives de franchissement,1392.3579187784978,1605.5798991549077,1730.4762911533242
Distance totale parcourue avec le ballon,7020.014953836075,7698.584774307475,12718.771201363297
Distance parcourue vers l'attaque en portant la balle,2150.1650696920437,2338.2465585975574,5662.841499467567
Chevauchées dans le dernier tiers,1.6317442765951702,1.5939194012627984,1.3773382977042494
Chevauchées dans la surface de réparation,1.2620339522077708,0.391528221826254,0.18247380394434654
Mauvais contrôle,2.515244083803639,1.403670216848433,0.8012393402054515
Perte de balle,1.5394104272543805,1.0703731350581362,0.3982690630062846
Passes reçues,169.19602362164403,377.26348846326744,496.8523738071712
Passes progressives reçues,16.985484096069463,7.846822883159302,7.510368263632966
Deuxième carton jaune,0.00032154337509431393,0.0016304304342273043,0.0013168267861275794
Fautes commises,0.900251927372166,1.0603615602466565,0.8398643351982409
Fautes provoquées,1.3153727011536764,1.1059537529088899,0.7185880306530292
Hors-jeux,0.3473438168750474,0.07343367404844886,0.05168101788798092
Interceptions,0.3122517233555845,0.8989278334507309,1.2409400091687588
Pénaltys concédés,0.002566553426428485,0.005144731075286948,0.01608288157168545
But contre son camp,0.0,0.001901650255188145,0.009154223748865027
Récupérations de balle,4.784535418964914,9.907527227921552,8.406346736522814
Aerials Won,1.572689338923167,1.0349304607492096,2.6461420417623596
Aerials Lost,2.5904978552912037,1.1672522476203624,1.3782468977549893
% of Aerials Won,1327.4778909619952,1656.1096918363482,1285.027238384234
