,Unnamed: 0,0,1
353,Leander Dendoncker,15000000.0,15 avr. 1995 (28)
354,Mario Lemina,10000000.0,1 sept. 1993 (29)
355,Boubacar Traoré,5000000.0,20 août 2001 (21)
356,Joe Hodge,2000000.0,14 sept. 2002 (20)
357,Matheus Nunes,45000000.0,27 août 1998 (24)
358,João Gomes,18000000.0,12 févr. 2001 (22)
359,Luke Cundle,3000000.0,26 avr. 2002 (21)
360,João Moutinho,1500000.0,8 sept. 1986 (36)
361,Connor Ronan,800000.0,6 mars 1998 (25)
362,Morgan Gibbs-White,40000000.0,27 janv. 2000 (23)
363,Chem Campbell,1000000.0,30 déc. 2002 (20)
364,Gonçalo Guedes,23000000.0,29 nov. 1996 (26)
365,Chiquinho,2000000.0,5 févr. 2000 (23)
366,Pedro Neto,28000000.0,9 mars 2000 (23)
367,Daniel Podence,20000000.0,21 oct. 1995 (27)
368,Pablo Sarabia,14000000.0,11 mai 1992 (31)
369,Adama Traoré,10000000.0,25 janv. 1996 (27)
370,Matheus Cunha,25000000.0,27 mai 1999 (24)
371,Sasa Kalajdzic,15000000.0,7 juil. 1997 (25)
372,Hee-chan Hwang,12000000.0,26 janv. 1996 (27)
373,Raúl Jiménez,6000000.0,5 mai 1991 (32)
374,Diego Costa,2000000.0,7 oct. 1988 (34)
375,Danny Ward,6000000.0,22 juin 1993 (30)
376,Daniel Iversen,5000000.0,19 juil. 1997 (25)
377,Alex Smithies,500000.0,5 mars 1990 (33)
378,Wesley Fofana,55000000.0,17 déc. 2000 (22)
379,Wout Faes,20000000.0,3 avr. 1998 (25)
380,Çağlar Söyüncü,15000000.0,23 mai 1996 (27)
381,Harry Souttar,15000000.0,22 oct. 1998 (24)
382,Daniel Amartey,12000000.0,21 déc. 1994 (28)
383,Jannik Vestergaard,4000000.0,3 août 1992 (30)
384,Jonny Evans,2000000.0,3 janv. 1988 (35)
385,Lewis Brunt,100000.0,6 nov. 2000 (22)
386,Victor Kristiansen,12000000.0,16 déc. 2002 (20)
387,Luke Thomas,12000000.0,10 juin 2001 (22)
388,Ryan Bertrand,800000.0,5 août 1989 (33)
389,Timothy Castagne,25000000.0,5 déc. 1995 (27)
390,James Justin,20000000.0,23 févr. 1998 (25)
391,Ricardo Pereira,10000000.0,6 oct. 1993 (29)
392,Joe Wormleighton,100000.0,30 déc. 2003 (19)
393,Wilfred Ndidi,25000000.0,16 déc. 1996 (26)
394,Boubakary Soumaré,20000000.0,27 févr. 1999 (24)
395,Hamza Choudhury,5000000.0,1 oct. 1997 (25)
396,Nampalys Mendy,2500000.0,23 juin 1992 (31)
397,Sammy Braybrooke,250000.0,12 mars 2004 (19)
398,Youri Tielemans,25000000.0,7 mai 1997 (26)
399,Kiernan Dewsbury-Hall,25000000.0,6 sept. 1998 (24)
400,Dennis Praet,7000000.0,14 mai 1994 (29)
401,Marc Albrighton,1000000.0,18 nov. 1989 (33)
402,James Maddison,60000000.0,23 nov. 1996 (26)
403,Harvey Barnes,35000000.0,9 déc. 1997 (25)
404,Ayoze Pérez,6000000.0,29 juil. 1993 (29)
405,Tetê,25000000.0,15 févr. 2000 (23)
406,Kasey McAteer,250000.0,22 nov. 2001 (21)
407,Kelechi Iheanacho,18000000.0,3 oct. 1996 (26)
408,Patson Daka,18000000.0,9 oct. 1998 (24)
409,Jamie Vardy,2500000.0,11 janv. 1987 (36)
410,George Hirst,800000.0,15 févr. 1999 (24)
411,Alphonse Areola,8000000.0,27 févr. 1993 (30)
412,Lukasz Fabianski,900000.0,18 avr. 1985 (38)
413,Darren Randolph,400000.0,12 mai 1987 (36)
414,Nathan Trott,400000.0,21 nov. 1998 (24)
415,Krisztián Hegyi,250000.0,24 sept. 2002 (20)
416,Joseph Anang,100000.0,8 juin 2000 (23)
417,Nayef Aguerd,35000000.0,30 mars 1996 (27)
418,Kurt Zouma,22000000.0,27 oct. 1994 (28)
419,Thilo Kehrer,18000000.0,21 sept. 1996 (26)
420,Craig Dawson,2000000.0,6 mai 1990 (33)
421,Angelo Ogbonna,900000.0,23 mai 1988 (35)
422,Jamal Baptiste,250000.0,11 nov. 2003 (19)
423,Emerson Palmieri,12000000.0,3 août 1994 (28)
424,Aaron Cresswell,1200000.0,15 déc. 1989 (33)
425,Oliver Scarles,200000.0,12 déc. 2005 (17)
426,Regan Clayton,150000.0,11 nov. 2004 (18)
427,Ben Johnson,10000000.0,24 janv. 2000 (23)
428,Vladimir Coufal,9000000.0,22 août 1992 (30)
429,Harrison Ashby,1000000.0,14 nov. 2001 (21)
430,Declan Rice,90000000.0,14 janv. 1999 (24)
431,Tomas Soucek,35000000.0,27 févr. 1995 (28)
432,Conor Coventry,1800000.0,25 mars 2000 (23)
433,Pierre Ekwah,500000.0,15 janv. 2002 (21)
